CityHun;CityLoc;CountryName;CountryCode;Latitude;Longitude
Abrudbánya;Abrud;Romania;RO;46.274675;23.065029
Aranybánya;Zlatá Baòa;Slovakia;SK;48.898871;18.533053
Aranyosbánya;Baia de Arieº;Romania;RO;46.380814;23.280501
Bakabánya;Pukanec;Slovakia;SK;48.364416;18.7202
Balánbánya;Bãlan;Romania;RO;46.652595;25.811344
Bánya;Bãnia;Romania;RO;44.876242;22.045131
Bánya;Baòa;Slovakia;SK;49.216277;21.607673
Bányabükk;Vâlcele;Romania;RO;45.852438;25.705516
Bányafalu;Szuszkove;Ukraine;UA;48.540284;22.913
Bányahavas;Muntele Bãiºorii;Romania;RO;46.560432;23.348231
Bányahegy;Pleškovec;Croatia;HR;46.452197;16.370324
Bányapataka;Banské;Slovakia;SK;48.833333;21.583333
Bányavár;Peklenica;Croatia;HR;46.497418;16.474206
Bányavölgy;Duplín;Slovakia;SK;49.233896;21.62628
Bélabánya;Banská Belá;Slovakia;SK;48.485077;18.955784
Besztercebánya;Banská Bystrica;Slovakia;SK;48.738403;19.157349
Boksánbánya;Bocºa;Romania;RO;44.754153;24.054352
Breznóbánya;Brezno;Slovakia;SK;48.805335;19.640961
Császárkõbánya;Kaisersteinbruch;Austria;AT;47.988105;16.701946
Csehbánya;Csehbánya;Hungary;HU;47.18183;17.684198
Csiklóbánya;Ciclova Montanã;Romania;RO;45.026192;21.729876
Erzsébetbánya;Bãiuþ;Romania;RO;47.613987;23.99752
Felsõbánya;Baia Sprie;Romania;RO;47.661591;23.692209
Ferencbánya;Ticu-Colonie;Romania;RO;46.916996;23.234943
Galadnabánya;Gladna Montanã;Romania;RO;45.745755;22.200762
Gölnicbánya;Gelnica;Slovakia;SK;48.823363;20.934349
Hegybánya;Štiavnické Bane;Slovakia;SK;48.434355;18.84739
Ilobabánya;Handalu Ilbei;Romania;RO;47.735498;23.36451
Járabánya;Bãiºoara;Romania;RO;46.577554;23.461516
Kapnikbánya;Cavnic;Romania;RO;47.654006;23.828325
Kincsesbánya;Kincsesbánya;Hungary;HU;47.26446;18.273911
Kisbánya;Chiuzbaia;Romania;RO;47.699548;23.68056
Körmöcbánya;Kremnica;Slovakia;SK;48.711474;18.95186
Körösbánya;Baia de Criº;Romania;RO;46.173703;22.713383
Láposbánya;Bãiþa;Romania;RO;46.835803;24.531497
Libetbánya;¼ubietova;Slovakia;SK;48.727734;19.452602
Lónyabánya;Lovinobaòa;Slovakia;SK;48.437128;19.60181
Lõvétebánya;Minele Lueta;Romania;RO;46.30637;25.506428
Miszbánya;Nistru;Romania;RO;47.720876;23.454954
Mogyorósbánya;Mogyorósbánya;Hungary;HU;47.727491;18.602407
Mosóbánya;Bãiþa de sub Codru;Romania;RO;47.52975;23.149826
Nagybánya;Baia Mare;Romania;RO;47.656558;23.571984
Németbánya;Németbánya;Hungary;HU;47.214713;17.646568
Nyitrabánya;Handlová;Slovakia;SK;48.695191;18.725694
Óbánya;Óbánya;Hungary;HU;46.220555;18.411529
Oravicabánya;Oraviþa;Romania;RO;45.038133;21.68606
Ormosbánya;Ormosbánya;Hungary;HU;48.336193;20.648278
Õribánya;Bergwerk;Austria;AT;47.362585;16.253395
Ötösbánya;Rudòany;Slovakia;SK;48.874018;20.689693
Petõfibánya;Petõfibánya;Hungary;HU;47.766128;19.701934
Rákóczibánya;Rákóczibánya;Hungary;HU;48.028756;19.870911
Resicabánya;Reºiþa;Romania;RO;45.289011;21.887768
Rézbánya;Nucet;Romania;RO;46.486912;22.558775
Rimabánya;Rimavská Baòa;Slovakia;SK;48.511071;19.941576
Rudabánya;Rudabánya;Hungary;HU;48.373781;20.622451
Ruszkabánya;Rusca Montanã;Romania;RO;45.56741;22.458161
Sátorosbánya;Šiatorská Bukovinka;Slovakia;SK;48.183391;19.828686
Selmecbánya;Banská Štiavnica;Slovakia;SK;48.458093;18.898841
Sóbánya;So¾ná Baòa;Slovakia;SK;48.194013;17.054668
Szászkabánya;Sasca Montanã;Romania;RO;44.887008;21.709286
Szentmargitbánya;Sankt Margarethen im Burgenland;Austria;AT;47.803926;16.608525
Sziklabánya;Chropov;Slovakia;SK;48.773183;17.317836
Szinóbánya;Cinobaòa;Slovakia;SK;48.484177;19.62548
Tapolybánya;Jastrabie nad Top¾ou;Slovakia;SK;48.949383;21.608524
Tatabánya;Tatabánya;Hungary;HU;47.583779;18.398031
Telkibánya;Telkibánya;Hungary;HU;48.485603;21.354474
Tõkésbánya;Groºi;Romania;RO;45.914905;22.28657
Újbánya;Baia Nouã;Romania;RO;44.554647;22.128892
Újbánya;Nová Baòa;Slovakia;SK;48.445092;18.623084
Vágbánya;Bohunice;Slovakia;SK;48.333485;18.75148
Zarándbánya;Bãneºti;Romania;RO;47.591373;26.521847
