CityHun;CityLoc;CountryName;CountryCode;GeometryType;Latitude;Longitude;telenorm;falva;egyhaz;var;folyo;ujo;alsofelso;szent;szentkiraly;kolostor;hetvezer;torzs;nemzetseg;nemzetiseg;banya;ff;patak;ersek
Aba;Aba;Hungary;HU;point;4.702.919;18.521.661;aba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abádszalók;Abádszalók;Hungary;HU;point;47.476.014;20.599.775;abadszalok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abafája;Apalina;Romania;RO;point;46.753.996;24.690.772;abafaja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abafalva;Abovce;Slovakia;SK;point;4.831.133;20.338.123;abafalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaliget;Abaliget;Hungary;HU;point;46.140.978;18.116.744;abaliget;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abara;Oborín;Slovakia;SK;point;48.542.158;21.886.465;abara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abasár;Abasár;Hungary;HU;point;4.779.471;2.000.018;abasar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abásfalva;Aldea;Romania;RO;point;46.252.486;25.434.959;abasfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaszállás;Lehota;Slovakia;SK;point;48.315.071;17.992.754;abaszallas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaszéplak;Krásna nad Hornádom;Slovakia;SK;point;48.672.606;21.318.817;abaszeplak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújalpár;Abaújalpár;Hungary;HU;point;48.306.561;21.232.627;abaujalpar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújharaszti;Chrastné;Slovakia;SK;point;48.793.304;21.353.154;abaujharaszti;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújkér;Abaújkér;Hungary;HU;point;48.307.944;21.199.844;abaujker;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Abaújlak;Abaújlak;Hungary;HU;point;48.405.055;20.955.053;abaujlak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújnádasd;Trstené pri Hornáde;Slovakia;SK;point;48.573.796;21.335.137;abaujnadasd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújrákos;Rákoš;Slovakia;SK;point;48.599.274;20.148.815;abaujrakos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújszakaly;Sokoľany;Slovakia;SK;point;48.609.354;21.230.262;abaujszakaly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújszántó;Abaújszántó;Hungary;HU;point;48.278.706;211.855;abaujszanto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújszina;Seňa;Slovakia;SK;point;4.856.129;21.257.072;abaujszina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújszolnok;Abaújszolnok;Hungary;HU;point;48.372.491;20.973.949;abaujszolnok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abaújvár;Abaújvár;Hungary;HU;point;48.526.044;21.314.622;abaujvar;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abda;Abda;Hungary;HU;point;47.697.682;17.540.983;abda;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abdalóc;Edlitz im Burgenland;Austria;AT;point;47.135.211;16.434.898;abdaloc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábelfalva;Abelová;Slovakia;SK;point;48.410.711;19.432.452;abelfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abod;Abod;Hungary;HU;point;48.392.654;20.791.038;abod;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abony;Abony;Hungary;HU;point;4.718.874;20.004.782;abony;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abos;Obišovce;Slovakia;SK;point;48.863.008;21.235.978;abos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Abosfalva;Abuş;Romania;RO;point;46.356.883;24.381.037;abosfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábrahám;Abrahám;Slovakia;SK;point;48.247.983;17.619.419;abraham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábrahámfalva;Abrahamovce;Slovakia;SK;point;49.164.624;21.341.789;abrahamfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábrahámhegy;Ábrahámhegy;Hungary;HU;point;46.814.783;175.715;abrahamhegy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábrahámpikfalva;Abrahamovce;Slovakia;SK;point;49.164.624;21.341.789;abrahampikfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábránfalva;Obrăneşti;Romania;RO;point;46.227.802;25.293.931;abranfalva;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábránka;Abranka;Ukraine;UA;point;48.733.338;23.070.244;abranka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ábrány;Abranovce;Slovakia;SK;point;48.938.097;21.357.306;abrany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
