CityHun;CityLoc;CountryName;CountryCode;Latitude;Longitude
Alsósajó;Nižná Slaná;Slovakia;SK;48.725408;20.415991
Bélkismaros;Stoineºti;Romania;RO;46.613021;22.025031
Bélnagymaros;Mãrãuº;Romania;RO;46.594403;22.034298
Bodrog;Bodrog;Romania;RO;46.731638;23.766742
Bodrog;Bodrog;Hungary;HU;48.299361;21.557656
Bodroghalom;Bodroghalom;Hungary;HU;48.303573;21.704878
Bodrogkeresztúr;Bodrogkeresztúr;Hungary;HU;48.15876;21.360658
Bodrogkisfalud;Bodrogkisfalud;Hungary;HU;48.172833;21.357453
Bodrogmezõ;Po¾any;Slovakia;SK;48.469353;21.993405
Bodrogolaszi;Bodrogolaszi;Hungary;HU;48.287651;21.517628
Bodrogszentes;Svätuše;Slovakia;SK;48.430201;21.921972
Bodrogszentmária;Sväta Maria;Slovakia;SK;48.704329;20.673351
Bodrogszerdahely;Streda nad Bodrogom;Slovakia;SK;48.368091;21.757509
Bodrogszög;Klín nad Bodrogom;Slovakia;SK;48.37678;21.732513
Bodrogvécs;Veè;Slovakia;SK;48.407086;21.844659
Drávacsány;Gornji Hrašæan;Croatia;HR;46.377018;16.349361
Drávacsehi;Drávacsehi;Hungary;HU;45.811041;18.166555
Drávacsepely;Drávacsepely;Hungary;HU;45.828459;18.136619
Drávadiós;Orehovica;Croatia;HR;46.331552;16.506794
Drávaegyház;Cirkovljan;Croatia;HR;46.342303;16.646836
Drávafok;Drávafok;Hungary;HU;45.884981;17.763702
Drávafüred;Oporovec;Croatia;HR;46.329982;16.674622
Drávagárdony;Drávagárdony;Hungary;HU;45.944043;17.60468
Drávaiványi;Drávaiványi;Hungary;HU;45.84676;17.818134
Drávakeresztúr;Drávakeresztúr;Hungary;HU;45.839408;17.758761
Drávamagyaród;Trnovec;Croatia;HR;46.382462;16.311131
Drávanagyfalu;Strahoninec;Croatia;HR;46.372018;16.415408
Drávaóhid;Pretetinec;Croatia;HR;46.392659;16.369969
Drávaollár;Vularija;Croatia;HR;46.328968;16.479081
Drávapalkonya;Drávapalkonya;Hungary;HU;45.803469;18.179718
Drávapiski;Drávapiski;Hungary;HU;45.840022;18.100571
Drávasiklós;Èukovec;Croatia;HR;46.346884;16.707408
Drávaszabolcs;Drávaszabolcs;Hungary;HU;45.805976;18.210737
Drávaszentistván;Štefanec;Croatia;HR;46.373491;16.492169
Drávaszentiván;Ivanovec;Croatia;HR;46.369286;16.478865
Drávaszentmihály;Mihovljan;Croatia;HR;46.404971;16.446936
Drávaszerdahely;Drávaszerdahely;Hungary;HU;45.836338;18.163582
Drávaszilas;Podbrest;Croatia;HR;46.330273;16.545427
Drávasztára;Drávasztára;Hungary;HU;45.825622;17.822729
Drávatamási;Drávatamási;Hungary;HU;45.939854;17.571421
Drávavásárhely;Nedelišæe;Croatia;HR;46.37556;16.383805
Dunaalmás;Dunaalmás;Hungary;HU;47.733437;18.335125
Dunabogdány;Dunabogdány;Hungary;HU;47.794015;19.035083
Dunabökény;Mladenovo;Serbia;RS;45.304291;19.26208
Dunacséb;Èelarevo;Serbia;RS;45.27182;19.527196
Dunacsún;Èuòovo;Slovakia;SK;48.030206;17.194905
Dunadombó;Dubovac;Serbia;RS;44.795784;21.206895
Dunaegyháza;Dunaegyháza;Hungary;HU;46.836612;18.953575
Dunafalva;Dunafalva;Hungary;HU;46.083745;18.773863
Dunaföldvár;Dunaföldvár;Hungary;HU;46.810432;18.922292
Dunagálos;Gložan;Serbia;RS;45.277109;19.574368
Dunagárdony;Gardinovci;Serbia;RS;45.20364;20.135807
Dunaharaszti;Dunaharaszti;Hungary;HU;47.359976;19.095336
Dunahidas;Most pri Bratislava;Slovakia;SK;48.145545;17.263886
Dunajánosháza;Jánovce;Slovakia;SK;49.190508;21.305252
