CityHun;CityLoc;CountryName;CountryCode;Latitude;Longitude
Agyagospatak;Hlinné;Slovakia;SK;48.952044;21.557788
Almáspatak;Sztrimba;Ukraine;UA;48.044369;23.918671
Alsóhidegpatak;Nyizsnyij Sztudenij;Ukraine;UA;48.695207;23.360756
Alsópatak;Valea Mare de Codru;Romania;RO;46.807775;22.078759
Alsószálláspatak;Sãlaºu de Jos;Romania;RO;45.533319;22.972339
Aranyospatak;Zlatník;Slovakia;SK;48.966763;21.546622
Árapatak;Araci;Romania;RO;45.813573;25.650569
Avaspatak;Valea Seacã;Romania;RO;46.08411;26.117847
Bánpatak;Banpotoc;Romania;RO;45.895438;23.013465
Bégahosszúpatak;Valea Lungã Românã;Romania;RO;45.754154;21.956153
Borospatak;Valea Boroº;Romania;RO;46.547391;25.988489
Bölönpatak;Belin-Vale;Romania;RO;45.932371;25.608776
Brusztópatak;Lopusanka;Ukraine;UA;48.513054;23.076753
Bükkhavaspatak;Poiana Fagului;Romania;RO;46.640965;25.955146
Bükköspatak;Bukovec;Ukraine;UA;47.691502;19.002199
Csendespatak;Tichý Potok;Slovakia;SK;49.051618;22.545765
Cserpatak;Osrblie;Slovakia;SK;48.742378;19.508733
Dióspatak;Vãliºoara;Romania;RO;47.379863;23.400306
Dobollópatak;Valea Dobârlãului;Romania;RO;45.730505;25.935006
Dobrapatak;Potok;Slovakia;SK;48.560234;20.051828
Egerpatak;Aninoasa;Romania;RO;44.743436;23.485057
Egrespatak;Aghireº;Romania;RO;47.16164;23.017636
Elõpatak;Vâlcele;Romania;RO;45.852438;25.705516
Erdõpatak;Liszarnya;Ukraine;UA;48.557829;22.731113
Érpatak;Érpatak;Hungary;HU;47.808686;21.758343
Farkaspatak;Valea Lupului;Romania;RO;45.471993;23.124446
Farkaspatak;Lupoaia;Romania;RO;44.826407;22.964499
Fehérpatak;Tauchen;Austria;AT;46.830561;15.878279
Feketepatak;Csornij Potyik;Ukraine;UA;48.184888;22.903189
Felsõfeketepatak;Èierne nad Top¾ou;Slovakia;SK;48.996885;21.565939
Felsõhidegpatak;Verhnyij Sztudenij;Ukraine;UA;48.737677;23.354327
Felsõpatak;Valea Mare de Criº;Romania;RO;46.993025;22.574101
Felsõszálláspatak;Sãlaºu de Sus;Romania;RO;45.509397;22.953575
Galocáspatak;Gãlãuþaº-Pârãu;Romania;RO;46.892417;25.378502
Gyergyózsedánpatak;Telec;Romania;RO;46.886861;25.865299
Gyertyánpatak;Hrabovèík;Slovakia;SK;49.28065;21.557544
Harampatak;Potoc;Romania;RO;45.798452;21.390292
Hármaspatak;Valea Târnei;Romania;RO;47.125168;22.530192
Hárspatak;Lipovec;Ukraine;UA;48.273116;23.304105
Hárspatak;Limbach im Burgenland;Austria;AT;47.059536;16.167193
Határpatak;Valea Dãii;Romania;RO;46.225693;24.896124
Hattyúpatak;Vinièné;Slovakia;SK;48.269892;17.302281
Hidegpatak;Studenec;Slovakia;SK;49.036797;20.764549
Homapatak;Homojdia;Romania;RO;45.856505;22.3574
Hosszúpatak;Tãuni;Romania;RO;46.150683;24.131639
Felsõbarbatyen;Bãrbãtenii de Sus;Romania;RO;FAILED;FAILED
Idecspatak;Idicel;Romania;RO;46.855493;24.817585
Illópatak;Ilova;Romania;RO;45.277711;22.341512
Ilondapatak;Dolheni;Romania;RO;47.360013;23.657158
Izasópatak;Slãtioara;Romania;RO;45.122191;23.90278
Kabalapatak;Fântânele Rus;Romania;RO;47.251961;23.55869
Kabaláspatak;Bãlaia;Romania;RO;47.108091;22.171985
Kabolapatak;Iapa;Romania;RO;46.810397;26.401092
Kásapatak;Bogdana;Romania;RO;46.189101;26.845529
Kelemenpatak;Cãlimãnel;Romania;RO;46.938954;25.320059
Kelénpatak;Klingenbach;Austria;AT;47.769259;16.531993
Kenézpatak;Csornij Potyik;Ukraine;UA;48.411559;22.998987
Hánykovica;Hanykovica;Ukraine;UA;FAILED;FAILED
Keresztespatak;Cristeºti;Romania;RO;47.261555;26.580322
Kézdiszárazpatak;Valea Seacã;Romania;RO;46.08411;26.117847
Kisfeketepatak;Kobeliarovo;Slovakia;SK;48.750951;20.364236
Kisgyógypatak;Geogel;Romania;RO;46.311462;23.380391
Kispatak;Valea Micã;Romania;RO;46.391506;26.944546
Kispatak;Ricska;Ukraine;UA;48.590294;23.374627
Kispatak;Potocsok;Ukraine;UA;48.590294;23.374627
Kissebespatak;Sãbiºa;Romania;RO;47.729462;23.329006
Kohópatak;Cufoaia;Romania;RO;47.479244;23.803382
Komlóspatak;Chme¾ová;Slovakia;SK;49.0455858;21.032134
Kõpatak;Steinbach im Burgenland;Austria;AT;47.475425;16.317005
Kõrispatak;Criºeni;Romania;RO;47.228505;23.039477
Körtvélypatak;Cruºovãþ;Romania;RO;44.995902;22.320745
Kurtapatak;Valea Scurtã;Romania;RO;46.10351;26.198266
Lapispatak;Ploské;Slovakia;SK;48.814443;21.325374
Lapupatak;Ruginoasa;Romania;RO;47.2441;26.838865
Lassúpatak;Tichá Voda;Slovakia;SK;48.773873;20.595986
Lazonpatak;Podproè;Slovakia;SK;49.064005;20.77164
Lisznyópatak;Lisnãu-Vale;Romania;RO;45.766282;25.931824
Lupsapatak;Valea Lupºii;Romania;RO;46.386308;23.224781
Magyarpatak;Fãgetu;Romania;RO;45.133242;26.02271
Málnapatak;Málinec;Slovakia;SK;48.497309;19.680811
Malompatak;Mlynica;Slovakia;SK;49.101398;20.31371
Marossárpatak;Glodeni;Romania;RO;45.021737;25.463959
Merészpatak;Merník;Slovakia;SK;48.953794;21.643258
Mezõpatak;Polerieka;Slovakia;SK;48.936492;18.782807
Mikolapatak;Vãleni;Romania;RO;46.070346;27.153058
Nádaspatak;Trosztyanica;Ukraine;UA;48.636422;22.695546
Nádpatak;Rodbav;Romania;RO;45.911578;24.87589
Nagyfeketepatak;Valea Criºului;Romania;RO;46.948519;22.641116
Nagykõpatak;Kvakovce;Slovakia;SK;48.988239;21.672092
Nagypatak;Pârâu Mare;Romania;RO;46.763876;25.004242
Nagypatak;Valea Mare;Romania;RO;44.680477;23.995069
Nyáraspatak;Iarãº;Romania;RO;45.86981;25.598276
Oláhpatak;Vlachovo;Slovakia;SK;48.772252;20.412758
Olajpatak;Olejníkov;Slovakia;SK;49.183333;21.066667
Oroszpatak;Ruský Potok;Slovakia;SK;49.026261;22.407851
Osztópatak;Ostrovany;Slovakia;SK;49.063166;21.116099
Ökörpatak;Pãltiniº;Romania;RO;46.392112;25.202162
Pálpatak;Pãuloaia;Romania;RO;46.804278;24.883581
Patak;Potok;Slovakia;SK;48.560234;20.051828
Patak;Patak;Hungary;HU;48.019233;19.144873
Patakalja;Podreèany;Slovakia;SK;48.406453;19.601265
Patakfalva;Vãleni;Romania;RO;46.070346;27.153058
Pataki;Potoky;Slovakia;SK;49.258042;21.626196
Patakófalu;Sztuzsica;Ukraine;UA;49.024239;22.609492
Patakos;Packanyove;Ukraine;UA;48.585897;22.605193
Pataktanya;Ploszkij Potyik;Ukraine;UA;48.644297;22.895281
Nyárasgorond;Nyaros Horonda;Ukraine;UA;FAILED;FAILED
Péntekpatak;Pintic;Romania;RO;46.96279;25.839011
Rákospatak;Horbki;Ukraine;UA;47.548522;19.23505
Recepatak;Recea;Romania;RO;46.465006;24.416718
Rónapatak;Rovné;Slovakia;SK;48.581489;20.052303
Rózsapatak;Ruºor;Romania;RO;47.504405;23.711018
Sárospatak;Sárospatak;Hungary;HU;48.321682;21.565552
Sárpatak;ªapartoc;Romania;RO;46.172119;24.856433
Sebespatak;Rožòavské Bystré;Slovakia;SK;48.670572;20.440736
Sepsikõröspatak;Valea Criºului;Romania;RO;45.916785;25.779212
Sóspatak;ªeuºa;Romania;RO;46.059879;23.627837
Sötétpatak;Valea Ântunecoasã;Romania;RO;46.559288;25.954123
Stejvaspatak;ªtei;Romania;RO;46.535577;22.45515
Szálláspatak;Szaszove;Ukraine;UA;48.101377;23.697672
Szalmapatak;Româneºti;Romania;RO;47.790821;23.115431
Szalonnapatak;Solona;Romania;RO;47.263815;23.408659
Szárazpatak;Szuhoj;Ukraine;UA;46.20676;26.854145
Szárazpatak;Suchá nad Parnou;Slovakia;SK;48.417903;17.492643
Szarvaspatak;Corna;Romania;RO;46.288669;23.125422
Szászpatak;Spãtac;Romania;RO;46.138592;23.940758
Székelysóspatak;ªãuºa;Romania;RO;46.503762;24.396147
Székpatak;Secu;Romania;RO;45.271565;21.97844
Szentistvánpatak;Závodie;Slovakia;SK;49.384021;20.75932
Szepespatak;Hnilèík;Slovakia;SK;48.849743;20.549408
Széppatak;Krivoklát;Slovakia;SK;49.050315;18.141372
Szorospatak;Hlubokij Potok;Ukraine;UA;48.059196;23.899054
Szuhapatak;Szuhij;Ukraine;UA;48.949781;22.789461
Tamáspatak;Tãmãºasa;Romania;RO;45.798367;23.154155
Tapolysárpatak;Mokroluh;Slovakia;SK;49.30764;21.212429
Tekerõpatak;Valea Strâmbã;Romania;RO;46.6953;25.596547
Terebesfejérpatak;Gyilove;Ukraine;UA;47.93595;24.173681
Tereselpatak;Taraszivka;Ukraine;UA;48.212957;23.800565
Tópatak;Banský Studenec;Slovakia;SK;48.45337;18.966624
Trebusafejérpatak;Gyilove;Ukraine;UA;47.93595;24.173681
