CityHun;CityLoc;CountryName;CountryCode;Latitude;Longitude
Abaújvár;Abaújvár;Hungary;HU;48.526044;21.314622
Alsóolcsvár;Nižný Olèvar;Slovakia;SK;48.724434;21.352235
Bácsföldvár;Baèko Gradište;Serbia;RS;45.533436;20.027043
Bakóvár;Bacova;Romania;RO;45.666019;21.552001
Balatonföldvár;Balatonföldvár;Hungary;HU;46.84912;17.87924
Bányavár;Peklenica;Croatia;HR;46.497418;16.474206
Baranyavár;Branjin Vrh;Croatia;HR;45.794077;18.611686
Barsvörösvár;Èervený Hrádok;Slovakia;SK;48.300648;18.386292
Bélavár;Bélavár;Hungary;HU;46.121692;17.214929
Belovár;Bjelovar;Croatia;HR;45.899012;16.842444
Bérbaltavár;Bérbaltavár;Hungary;HU;47.010109;16.969015
Borzavár;Borzavár;Hungary;HU;47.291552;17.827182
Csákvár;Csákvár;Hungary;HU;47.391805;18.464064
Csõvár;Csõvár;Hungary;HU;47.813766;19.323848
Daruvár;Darova;Romania;RO;45.642004;21.773334
Daruvár;Daruvar;Croatia;HR;45.592749;17.223589
Diakovár;Djakovo;Croatia;HR;45.307982;18.411766
Dimvár;Suchohrad;Slovakia;SK;48.407103;16.858187
Dombóvár;Dombóvár;Hungary;HU;46.377899;18.133287
Dunaföldvár;Dunaföldvár;Hungary;HU;46.810432;18.922292
Egervár;Egervár;Hungary;HU;46.935569;16.853684
Érsekújvár;Nové Zámky;Slovakia;SK;47.996073;18.167648
Felsõmarosújvár;Uioara de Sus;Romania;RO;46.389733;23.887006
Felsõolcsvár;Košické O¾šany;Slovakia;SK;48.731627;21.344164
Földvár;Feldioara;Romania;RO;45.805258;24.688824
Földvár;Feldioara;Romania;RO;45.805258;24.688824
Gyõrvár;Gyõrvár;Hungary;HU;46.986525;16.83976
Gyulafehérvár;Alba Iulia;Romania;RO;46.068739;23.57044
Hédervár;Hédervár;Hungary;HU;47.831629;17.457013
Ikervár;Ikervár;Hungary;HU;47.208208;16.895386
Kányavár;Kányavár;Hungary;HU;46.572835;16.68058
Kaposvár;Kaposvár;Hungary;HU;46.356095;17.787787
Kaprevár;Cãprioara;Romania;RO;45.122782;28.40314
Kapuvár;Kapuvár;Hungary;HU;47.593704;17.027482
Keresztvár;Teliu;Romania;RO;45.697916;25.858019
Kézdikõvár;Petriceni;Romania;RO;46.068907;26.086098
Kiskolozsvár;Glasing;Austria;AT;47.042625;16.358007
Kisóvár;Stárý Hrádok;Slovakia;SK;48.151207;18.638418
Kisvár;Hradisko;Slovakia;SK;49.057178;20.523003
Kolozsvár;Cluj-Napoca;Romania;RO;46.769337;23.59006
Kóvár;Koláre;Slovakia;SK;48.070024;19.244477
Kozárvár;Cuzdrioara;Romania;RO;47.16773;23.919916
