CityHun;CityLoc;CountryName;CountryCode;Latitude;Longitude;;;
Aba;Aba;Hungary;HU;47,02919;18,521661;;;
Abádszalók;Abádszalók;Hungary;HU;47.476014;20.599775;;;
Abafája;Apalina;Romania;RO;46.753996;24.690772;;;
Abafalva;Abovce;Slovakia;SK;48.31133;20.338123;;;
Abaliget;Abaliget;Hungary;HU;46.140978;18.116744;;;
Abara;Oborín;Slovakia;SK;48.542158;21.886465;;;
Abasár;Abasár;Hungary;HU;47.79471;20.00018;;;
Abásfalva;Aldea;Romania;RO;46.252486;25.434959;;;
Abaszállás;Lehota;Slovakia;SK;48.315071;17.992754;;;
Abaszéplak;Krásna nad Hornádom;Slovakia;SK;48.672606;21.318817;;;
Abaújalpár;Abaújalpár;Hungary;HU;48.306561;21.232627;;;
Abaújharaszti;Chrastné;Slovakia;SK;48.793304;21.353154;;;
Abaújkér;Abaújkér;Hungary;HU;48.307944;21.199844;;;
Abaújlak;Abaújlak;Hungary;HU;48.405055;20.955053;;;
Abaújnádasd;Trstené pri Hornáde;Slovakia;SK;48.573796;21.335137;;;
Abaújrákos;Rákoš;Slovakia;SK;48.599274;20.148815;;;
Abaújszakaly;Soko¾any;Slovakia;SK;48.609354;21.230262;;;
Abaújszántó;Abaújszántó;Hungary;HU;48.278706;21.1855;;;
Abaújszina;Seòa;Slovakia;SK;48.56129;21.257072;;;
Abaújszolnok;Abaújszolnok;Hungary;HU;48.372491;20.973949;;;
Abaújvár;Abaújvár;Hungary;HU;48.526044;21.314622;;;
Abda;Abda;Hungary;HU;47.697682;17.540983;;;
Abdalóc;Edlitz im Burgenland;Austria;AT;47.135211;16.434898;;;
Ábelfalva;Abelová;Slovakia;SK;48.410711;19.432452;;;
Abod;Abod;Hungary;HU;48.392654;20.791038;;;
Abony;Abony;Hungary;HU;47.18874;20.004782;;;
Abos;Obišovce;Slovakia;SK;48.863008;21.235978;;;
Abosfalva;Abuº;Romania;RO;46.356883;24.381037;;;
Ábrahám;Abrahám;Slovakia;SK;48.247983;17.619419;;;
Ábrahámfalva;Abrahamovce;Slovakia;SK;49.164624;21.341789;;;
Ábrahámhegy;Ábrahámhegy;Hungary;HU;46.814783;17.5715;;;
Ábrahámpikfalva;Abrahamovce;Slovakia;SK;49.164624;21.341789;;;
Ábránfalva;Obrãneºti;Romania;RO;46.227802;25.293931;;;
Ábránka;Abranka;Ukraine;UA;48.733338;23.070244;;;
Ábrány;Abranovce;Slovakia;SK;48.938097;21.357306;;;
Abroncsos;Obruèné;Slovakia;SK;49.304556;20.982761;;;
Abrudbánya;Abrud;Romania;RO;46.274675;23.065029;;;
Abrudfalva;Abrud-Sat;Romania;RO;46.281657;23.06098;;;
Abrudkerpenyes;Cãrpiniº;Romania;RO;45.832718;23.658894;;;
Abucsa;Abucea;Romania;RO;45.910479;22.531741;;;
Ács;Ács;Hungary;HU;47.710071;18.014785;;;
